block,exp_event,task,timestamp,trial
1,Fixation dot begins for trial 64 in block 1,Fixation dot,1575397968.9621172,64
1,Image onset for trial 64 in block 1,Image onset,1575397970.1303139,64
1,Adjust Task begins for trial 64 in block 1,Adjust task,1575397971.677119,64
1,Adjust Task ends for trial 64 in block 1,,1575397972.696335,64
1,Ending trial 64 in block 1,End trial,1575397972.710724,64
1,Begin for trial 65 in block 1,Trial begins,1575397972.711607,65
1,Fixation dot begins for trial 65 in block 1,Fixation dot,1575397972.7117062,65
1,Image onset for trial 65 in block 1,Image onset,1575397973.85998,65
1,Adjust Task begins for trial 65 in block 1,Adjust task,1575397975.41035,65
1,Adjust Task ends for trial 65 in block 1,,1575397976.010197,65
1,Ending trial 65 in block 1,End trial,1575397976.0271091,65
1,Begin for trial 66 in block 1,Trial begins,1575397976.0278962,66
1,Fixation dot begins for trial 66 in block 1,Fixation dot,1575397976.02798,66
1,Image onset for trial 66 in block 1,Image onset,1575397977.3008482,66
1,Adjust Task begins for trial 66 in block 1,Adjust task,1575397978.860613,66
1,Adjust Task ends for trial 66 in block 1,,1575397980.394099,66
1,Ending trial 66 in block 1,End trial,1575397980.4113002,66
1,Begin for trial 67 in block 1,Trial begins,1575397980.4127629,67
1,Fixation dot begins for trial 67 in block 1,Fixation dot,1575397980.413085,67
1,Image onset for trial 67 in block 1,Image onset,1575397981.595264,67
1,Adjust Task begins for trial 67 in block 1,Adjust task,1575397983.1458821,67
1,Adjust Task ends for trial 67 in block 1,,1575397983.861417,67
1,Ending trial 67 in block 1,End trial,1575397983.878004,67
1,Begin for trial 68 in block 1,Trial begins,1575397983.8792691,68
1,Fixation dot begins for trial 68 in block 1,Fixation dot,1575397983.879426,68
1,Image onset for trial 68 in block 1,Image onset,1575397984.694061,68
1,Adjust Task begins for trial 68 in block 1,Adjust task,1575397986.244046,68
1,Adjust Task ends for trial 68 in block 1,,1575397990.828154,68
1,Ending trial 68 in block 1,End trial,1575397990.8448918,68
1,Begin for trial 69 in block 1,Trial begins,1575397990.846085,69
1,Fixation dot begins for trial 69 in block 1,Fixation dot,1575397990.8461618,69
1,Image onset for trial 69 in block 1,Image onset,1575397992.504668,69
